system_index,precipitation,geo,source_file
50,671.8352374588358,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.640658897442016]}",rr12.csv
51,688.1863863119797,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.640658897442016]}",rr12.csv
52,722.229708596773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.640658897442016]}",rr12.csv
53,757.3129458391886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.640658897442016]}",rr12.csv
54,793.1889305618292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.640658897442016]}",rr12.csv
55,792.4270086482804,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.640658897442016]}",rr12.csv
56,819.5272993079775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.640658897442016]}",rr12.csv
57,776.1180618671815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.640658897442016]}",rr12.csv
58,476.7383345586172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.68557466164799]}",rr12.csv
59,476.7383345586172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.68557466164799]}",rr12.csv
60,513.9577049638947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.68557466164799]}",rr12.csv
61,517.6989895579022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.68557466164799]}",rr12.csv
62,497.73049343082494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.68557466164799]}",rr12.csv
63,526.5918716141798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.68557466164799]}",rr12.csv
64,556.450930342483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.68557466164799]}",rr12.csv
65,579.4275715075187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.68557466164799]}",rr12.csv
66,625.680301158073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.68557466164799]}",rr12.csv
67,605.7676675468712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.68557466164799]}",rr12.csv
68,617.1927414138502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.68557466164799]}",rr12.csv
69,617.1927414138502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.68557466164799]}",rr12.csv
70,641.0441681251831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.68557466164799]}",rr12.csv
71,650.0431015017077,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.68557466164799]}",rr12.csv
72,681.5472795896312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.68557466164799]}",rr12.csv
73,616.05908881169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.68557466164799]}",rr12.csv
74,651.6265758654987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.68557466164799]}",rr12.csv
75,680.5607034420069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.68557466164799]}",rr12.csv
76,699.2364719377591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.68557466164799]}",rr12.csv
77,753.300596740686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.68557466164799]}",rr12.csv
78,660.6137351306606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.68557466164799]}",rr12.csv
79,660.6137351306606,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.68557466164799]}",rr12.csv
80,681.8043799999432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.68557466164799]}",rr12.csv
81,722.9442218845434,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.68557466164799]}",rr12.csv
82,772.1961234348223,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.68557466164799]}",rr12.csv
83,836.6029414490331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.68557466164799]}",rr12.csv
84,810.6661483240339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.68557466164799]}",rr12.csv
85,801.6794141066064,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.68557466164799]}",rr12.csv
86,784.4509566125998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.68557466164799]}",rr12.csv
87,511.0132780992899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.730490425853965]}",rr12.csv
88,511.0132780992899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.730490425853965]}",rr12.csv
89,538.019871397184,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.730490425853965]}",rr12.csv
90,547.904607153996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.730490425853965]}",rr12.csv
91,524.6615716725278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.730490425853965]}",rr12.csv
92,550.6721586115294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.730490425853965]}",rr12.csv
93,577.7518950568119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.730490425853965]}",rr12.csv
94,598.5642759752752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.730490425853965]}",rr12.csv
95,647.3442317064386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.730490425853965]}",rr12.csv
96,638.9666764815765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.730490425853965]}",rr12.csv
97,647.3138029216091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.730490425853965]}",rr12.csv
98,647.3138029216091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.730490425853965]}",rr12.csv
99,657.0868450770347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.730490425853965]}",rr12.csv
100,674.7275501804171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.730490425853965]}",rr12.csv
101,699.4677218553695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.730490425853965]}",rr12.csv
102,626.7533431777383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.730490425853965]}",rr12.csv
103,646.5153904770251,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.730490425853965]}",rr12.csv
104,682.554414460276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.730490425853965]}",rr12.csv
105,706.7549136863827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.730490425853965]}",rr12.csv
106,749.1023460218349,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.730490425853965]}",rr12.csv
107,657.4075337467261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.730490425853965]}",rr12.csv
108,657.4075337467261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.730490425853965]}",rr12.csv
109,682.2603569423852,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.730490425853965]}",rr12.csv
110,724.6232903945493,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.730490425853965]}",rr12.csv
111,754.3457639100961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.730490425853965]}",rr12.csv
112,791.5309409333823,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.730490425853965]}",rr12.csv
113,782.3246167283633,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.730490425853965]}",rr12.csv
114,780.9467223221081,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.730490425853965]}",rr12.csv
115,746.4283502705639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.730490425853965]}",rr12.csv
116,499.22959468081535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.77540619005994]}",rr12.csv
117,499.22959468081535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.77540619005994]}",rr12.csv
118,522.1595869566663,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.77540619005994]}",rr12.csv
119,549.5325184548346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.77540619005994]}",rr12.csv
120,512.0010935943506,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.77540619005994]}",rr12.csv
121,522.5621217605446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.77540619005994]}",rr12.csv
122,548.888452532598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.77540619005994]}",rr12.csv
123,568.9806863894416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.77540619005994]}",rr12.csv
124,599.5190410281957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.77540619005994]}",rr12.csv
125,605.3137734000381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.77540619005994]}",rr12.csv
126,601.7929206410988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.77540619005994]}",rr12.csv
127,601.7929206410988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.77540619005994]}",rr12.csv
128,621.9771604436121,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.77540619005994]}",rr12.csv
129,617.6142837011225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.77540619005994]}",rr12.csv
130,616.0627167890053,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.77540619005994]}",rr12.csv
131,580.0617306641388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.77540619005994]}",rr12.csv
132,625.4008514573145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.77540619005994]}",rr12.csv
133,664.9406434483445,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.77540619005994]}",rr12.csv
134,668.63864699998,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.77540619005994]}",rr12.csv
135,739.0014730724989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.77540619005994]}",rr12.csv
136,682.3837113385243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.77540619005994]}",rr12.csv
137,682.3837113385243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.77540619005994]}",rr12.csv
138,692.270586296218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.77540619005994]}",rr12.csv
139,716.6305997224097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.77540619005994]}",rr12.csv
140,730.1145682646893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.77540619005994]}",rr12.csv
141,767.2661082039155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.77540619005994]}",rr12.csv
142,773.2082597166336,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.77540619005994]}",rr12.csv
143,812.1086336207809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.77540619005994]}",rr12.csv
144,713.652422993393,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.77540619005994]}",rr12.csv
145,527.6344575854928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.82032195426592]}",rr12.csv
146,527.6344575854928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.82032195426592]}",rr12.csv
147,552.1952742933208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.82032195426592]}",rr12.csv
148,576.1220099140636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.82032195426592]}",rr12.csv
149,545.753697210459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.82032195426592]}",rr12.csv
150,551.4675892463226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.82032195426592]}",rr12.csv
151,572.6377012536747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.82032195426592]}",rr12.csv
152,599.0997702422894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.82032195426592]}",rr12.csv
153,635.2576498015201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.82032195426592]}",rr12.csv
154,600.2027876020309,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.82032195426592]}",rr12.csv
155,624.950093364142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.82032195426592]}",rr12.csv
156,624.950093364142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.82032195426592]}",rr12.csv
157,630.0825779853228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.82032195426592]}",rr12.csv
158,639.1669204890939,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.82032195426592]}",rr12.csv
159,632.6390140277367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.82032195426592]}",rr12.csv
160,586.2404601523892,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.82032195426592]}",rr12.csv
161,626.8219946146644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.82032195426592]}",rr12.csv
162,616.2613041008668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.82032195426592]}",rr12.csv
163,623.550488934387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.82032195426592]}",rr12.csv
164,692.1316625036403,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.82032195426592]}",rr12.csv
165,704.9200223327713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.82032195426592]}",rr12.csv
166,704.9200223327713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.82032195426592]}",rr12.csv
167,710.8348436423234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.82032195426592]}",rr12.csv
168,719.5190399305683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.82032195426592]}",rr12.csv
169,734.9901710179229,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.82032195426592]}",rr12.csv
170,760.3072217376209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.82032195426592]}",rr12.csv
171,711.9037956969973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.82032195426592]}",rr12.csv
172,703.1829218185449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.82032195426592]}",rr12.csv
173,725.2063316909698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.82032195426592]}",rr12.csv
174,563.8085021794614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.865237718471896]}",rr12.csv
175,563.8085021794614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.865237718471896]}",rr12.csv
176,583.9248755421904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.865237718471896]}",rr12.csv
177,609.8162254557487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.865237718471896]}",rr12.csv
178,570.5322206217868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.865237718471896]}",rr12.csv
179,580.0844518272124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.865237718471896]}",rr12.csv
180,592.4076529116834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.865237718471896]}",rr12.csv
181,628.3530167980721,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.865237718471896]}",rr12.csv
182,650.5708250641312,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.865237718471896]}",rr12.csv
183,629.5295544764967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.865237718471896]}",rr12.csv
184,636.6811445905086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.865237718471896]}",rr12.csv
185,636.6811445905086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.865237718471896]}",rr12.csv
186,652.159773895607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.865237718471896]}",rr12.csv
187,648.1440466866169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.865237718471896]}",rr12.csv
188,654.7269681908383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.865237718471896]}",rr12.csv
189,591.0981111028689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.865237718471896]}",rr12.csv
190,638.7546651839391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.865237718471896]}",rr12.csv
191,604.3355377452124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.865237718471896]}",rr12.csv
192,625.9648851022093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.865237718471896]}",rr12.csv
193,672.6875616334593,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.20771667331492,35.865237718471896]}",rr12.csv
194,686.2591666041908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.252632437520894,35.865237718471896]}",rr12.csv
195,686.2591666041908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.29754820172687,35.865237718471896]}",rr12.csv
196,692.9698147992192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.34246396593284,35.865237718471896]}",rr12.csv
197,704.0437896474119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.387379730138825,35.865237718471896]}",rr12.csv
198,704.5102844281515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.4322954943448,35.865237718471896]}",rr12.csv
199,716.0240650641808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.477211258550774,35.865237718471896]}",rr12.csv
200,664.3814034726529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.52212702275675,35.865237718471896]}",rr12.csv
201,661.9867519257386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.56704278696272,35.865237718471896]}",rr12.csv
202,690.5476410925912,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.611958551168705,35.865237718471896]}",rr12.csv
203,603.3382854894771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.354317153401375,35.91015348267787]}",rr12.csv
204,603.3382854894771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.39923291760735,35.91015348267787]}",rr12.csv
205,616.9311445703513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.444148681813324,35.91015348267787]}",rr12.csv
206,639.2107175483825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.4890644460193,35.91015348267787]}",rr12.csv
207,583.6803168843519,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.53398021022527,35.91015348267787]}",rr12.csv
208,598.3911636042757,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.578895974431255,35.91015348267787]}",rr12.csv
209,616.3772978734187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.62381173863723,35.91015348267787]}",rr12.csv
210,646.4607939415511,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.668727502843204,35.91015348267787]}",rr12.csv
211,666.6151328978151,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.71364326704918,35.91015348267787]}",rr12.csv
212,640.6680048566848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.75855903125516,35.91015348267787]}",rr12.csv
213,665.7579676584186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.803474795461135,35.91015348267787]}",rr12.csv
214,665.7579676584186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.84839055966711,35.91015348267787]}",rr12.csv
215,683.4437537543372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.893306323873084,35.91015348267787]}",rr12.csv
216,686.6328778435709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.93822208807906,35.91015348267787]}",rr12.csv
217,632.9442648117245,"{""geodesic"":false,""type"":""Point"",""coordinates"":[44.98313785228504,35.91015348267787]}",rr12.csv
218,565.584190926847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.028053616491015,35.91015348267787]}",rr12.csv
219,566.5566341534944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.07296938069699,35.91015348267787]}",rr12.csv
220,587.6169519897003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.117885144902964,35.91015348267787]}",rr12.csv
221,610.001826453362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[45.162800909108945,35.91015348267787]}",rr12.csv
